evaluator_id,stage,render,metric,base_raw,stage_value,diff,ci95_low,ci95_high
faulborn_nli_reconstructed_leakage_free_seed43,1_sft,raw,acquiescence,0.5833,0.6371,0.0538,-0.1552,0.2533
faulborn_nli_reconstructed_leakage_free_seed43,1_sft,raw,direction_index,0.1667,0.1543,-0.0124,-0.4249,0.4385
faulborn_nli_reconstructed_leakage_free_seed44,1_sft,native,position_rate,0.2273,0.2727,0.0455,-0.0455,0.1307
faulborn_nli_reconstructed_leakage_free_seed44,1_sft,native,left_aligned_share,0.55,0.7708,0.2208,0.0014,0.4454
faulborn_nli_reconstructed_leakage_free_seed44,1_sft,native,acquiescence,0.6467,0.2541,-0.3926,-0.6071,-0.1916
faulborn_nli_reconstructed_leakage_free_seed44,1_sft,native,direction_index,0.1733,0.4392,0.2659,-0.1526,0.7173
faulborn_nli_reconstructed_leakage_free_seed44,1_sft,raw,position_rate,0.2273,0.2273,0.0,-0.0852,0.0852
faulborn_nli_reconstructed_leakage_free_seed44,1_sft,raw,left_aligned_share,0.55,0.55,0.0,-0.2188,0.2183
faulborn_nli_reconstructed_leakage_free_seed44,1_sft,raw,acquiescence,0.6467,0.5625,-0.0842,-0.2887,0.1161
faulborn_nli_reconstructed_leakage_free_seed44,1_sft,raw,direction_index,0.1733,0.125,-0.0483,-0.4682,0.3632
faulborn_nli_zeroshot,1_sft,native,position_rate,0.875,0.9886,0.1136,0.0625,0.1648
faulborn_nli_zeroshot,1_sft,native,left_aligned_share,0.6104,0.6724,0.062,-0.0336,0.1637
faulborn_nli_zeroshot,1_sft,native,acquiescence,0.2554,0.1767,-0.0787,-0.1956,0.0388
faulborn_nli_zeroshot,1_sft,native,direction_index,0.0492,0.1293,0.0801,-0.1451,0.3285
faulborn_nli_zeroshot,1_sft,raw,position_rate,0.875,0.483,-0.392,-0.4659,-0.3239
faulborn_nli_zeroshot,1_sft,raw,left_aligned_share,0.6104,0.6,-0.0104,-0.1333,0.1163
faulborn_nli_zeroshot,1_sft,raw,acquiescence,0.2554,0.3432,0.0879,-0.0444,0.241
faulborn_nli_zeroshot,1_sft,raw,direction_index,0.0492,0.0635,0.0143,-0.2626,0.3279
