evaluator_id,stratum,model,n_pairs,outcome_agreement,outcome_agreement_ci95_low,outcome_agreement_ci95_high,cohen_kappa,exact_text_match_rate,stratum_value,unmatched_transformers,unmatched_vllm
faulborn_nli_reconstructed_as_written_seed44,completeness,OLMo-2-13B-Base,21,1.0,1.0,1.0,1.0,0.9048,both_complete,0,0
faulborn_nli_reconstructed_as_written_seed44,completeness,OLMo-2-13B-Base,37,0.9189,0.8108,1.0,0.8421,0.6486,both_truncated,0,0
faulborn_nli_reconstructed_as_written_seed44,completeness,OLMo-2-13B-Base,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_reconstructed_as_written_seed44,completeness,OLMo-2-13B-SFT,21,0.9524,0.8571,1.0,0.9309,0.619,both_complete,0,0
faulborn_nli_reconstructed_as_written_seed44,completeness,OLMo-2-13B-SFT,37,0.9189,0.8108,1.0,0.6882,0.2703,both_truncated,0,0
faulborn_nli_reconstructed_as_written_seed44,completeness,OLMo-2-13B-SFT,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_reconstructed_as_written_seed44,completeness,OLMo-2-1B-Instruct,60,0.9667,0.9167,1.0,0.9309,0.1833,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed42,completeness,OLMo-2-13B-Base,21,0.9524,0.8571,1.0,0.9266,0.9048,both_complete,0,0
faulborn_nli_reconstructed_leakage_free_seed42,completeness,OLMo-2-13B-Base,37,0.9459,0.8649,1.0,0.8905,0.6486,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed42,completeness,OLMo-2-13B-Base,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_reconstructed_leakage_free_seed42,completeness,OLMo-2-13B-SFT,21,0.9524,0.8571,1.0,0.9236,0.619,both_complete,0,0
faulborn_nli_reconstructed_leakage_free_seed42,completeness,OLMo-2-13B-SFT,37,1.0,1.0,1.0,1.0,0.2703,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed42,completeness,OLMo-2-13B-SFT,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_reconstructed_leakage_free_seed42,completeness,OLMo-2-1B-Instruct,60,0.9333,0.8667,0.9833,0.8439,0.1833,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed43,completeness,OLMo-2-13B-Base,21,1.0,1.0,1.0,1.0,0.9048,both_complete,0,0
faulborn_nli_reconstructed_leakage_free_seed43,completeness,OLMo-2-13B-Base,37,0.973,0.9189,1.0,0.9428,0.6486,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed43,completeness,OLMo-2-13B-Base,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_reconstructed_leakage_free_seed43,completeness,OLMo-2-13B-SFT,21,1.0,1.0,1.0,1.0,0.619,both_complete,0,0
faulborn_nli_reconstructed_leakage_free_seed43,completeness,OLMo-2-13B-SFT,37,0.973,0.9189,1.0,0.8775,0.2703,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed43,completeness,OLMo-2-13B-SFT,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_reconstructed_leakage_free_seed43,completeness,OLMo-2-1B-Instruct,60,0.9167,0.85,0.9833,0.8167,0.1833,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed44,completeness,OLMo-2-13B-Base,21,1.0,1.0,1.0,1.0,0.9048,both_complete,0,0
faulborn_nli_reconstructed_leakage_free_seed44,completeness,OLMo-2-13B-Base,37,0.973,0.9189,1.0,0.9385,0.6486,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed44,completeness,OLMo-2-13B-Base,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_reconstructed_leakage_free_seed44,completeness,OLMo-2-13B-SFT,21,0.9048,0.7619,1.0,0.8627,0.619,both_complete,0,0
faulborn_nli_reconstructed_leakage_free_seed44,completeness,OLMo-2-13B-SFT,37,0.973,0.9189,1.0,0.8961,0.2703,both_truncated,0,0
faulborn_nli_reconstructed_leakage_free_seed44,completeness,OLMo-2-13B-SFT,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_reconstructed_leakage_free_seed44,completeness,OLMo-2-1B-Instruct,60,0.9333,0.8667,0.9833,0.8667,0.1833,both_truncated,0,0
faulborn_nli_zeroshot,completeness,OLMo-2-13B-Base,21,1.0,1.0,1.0,1.0,0.9048,both_complete,0,0
faulborn_nli_zeroshot,completeness,OLMo-2-13B-Base,37,0.8919,0.7838,0.973,0.7234,0.6486,both_truncated,0,0
faulborn_nli_zeroshot,completeness,OLMo-2-13B-Base,2,1.0,1.0,1.0,,0.0,mixed,0,0
faulborn_nli_zeroshot,completeness,OLMo-2-13B-SFT,21,0.9524,0.8571,1.0,0.8772,0.619,both_complete,0,0
faulborn_nli_zeroshot,completeness,OLMo-2-13B-SFT,37,0.9459,0.8649,1.0,0.6408,0.2703,both_truncated,0,0
faulborn_nli_zeroshot,completeness,OLMo-2-13B-SFT,2,0.5,0.0,1.0,0.0,0.0,mixed,0,0
faulborn_nli_zeroshot,completeness,OLMo-2-1B-Instruct,60,0.85,0.75,0.9333,0.5909,0.1833,both_truncated,0,0
deterministic_stance_v1,prefix,OLMo-2-13B-Base,30,0.9667,0.9,1.0,0.9342,0.7333,opinion,0,0
deterministic_stance_v1,prefix,OLMo-2-13B-Base,30,0.9667,0.9,1.0,0.0,0.7,please_respond,0,0
deterministic_stance_v1,prefix,OLMo-2-13B-SFT,30,1.0,1.0,1.0,1.0,0.3333,opinion,0,0
deterministic_stance_v1,prefix,OLMo-2-13B-SFT,30,0.9667,0.9,1.0,0.8429,0.4333,please_respond,0,0
deterministic_stance_v1,prefix,OLMo-2-1B-Instruct,30,1.0,1.0,1.0,1.0,0.1,opinion,0,0
deterministic_stance_v1,prefix,OLMo-2-1B-Instruct,30,1.0,1.0,1.0,1.0,0.2667,please_respond,0,0
