model,n_pairs,input_tokens_equal,exact_text_match,finish_reason_agree,median_first_divergence_char_if_differs,mean_abs_output_tokens_delta,truncated_share_transformers,truncated_share_vllm,errors
OLMo-2-13B-Base,60,1.0,0.7167,0.9667,274.0,5.9833,0.6333,0.6333,0
OLMo-2-13B-SFT,60,1.0,0.3833,0.9667,319.0,4.5333,0.6333,0.6333,0
OLMo-2-1B-Instruct,60,1.0,0.1833,1.0,308.0,0.0,1.0,1.0,0
